A man speaks with a low sad expression, keeping his gaze forward and steady. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #sad_subtle
A girl speaks with steady voice, keeping a moderate angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A lady talks with gentle voice, presenting a medium angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A gentleman speaks in a calm rhythm, under a noticeable angry demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
An old man talks in a confident rhythm, showing a evident angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
An old woman delivers a short statement, paired with a moderate angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A young man reads a line aloud, featuring a medium angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A young woman recites a brief line, with a noticeable angry demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A middle-aged man speaks in brief clauses, keeping a evident angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A middle-aged woman talks in brief clauses, maintaining a moderate angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
An elderly man speaks as if presenting, marked by a medium angry demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
An elderly woman speaks as if briefing, with a noticeable angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A teen boy speaks as if teaching, under a evident angry tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A teen girl speaks as if hosting, carrying a moderate angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A male teacher recounts a line, revealing a medium angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A female teacher summarizes briefly, with a noticeable angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A male doctor paraphrases a point, showing a evident angry demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A female doctor emphasizes a word, the moderate angry tone evident. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A male engineer pauses, then continues speaking with a medium angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A female engineer enunciates carefully, carrying a noticeable angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A male student articulates clearly, sustaining a evident angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A female student speaks fluidly, with a moderate angry demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A male athlete talks fluidly, showing a medium angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A female athlete speaks steadily, keeping a noticeable angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A male artist talks steadily, maintaining a evident angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A female artist speaks naturally, with a moderate angry tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A male scientist talks naturally, under a medium angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A female scientist speaks in a warm cadence, revealing a noticeable angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A male singer talks in a warm cadence, keeping a evident angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A female singer speaks with gentle emphasis, bearing a moderate angry demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A male presenter talks with gentle emphasis, showing a medium angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A female presenter speaks with bright energy, paired with a noticeable angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A male chef talks with bright energy, sustaining a evident angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A female chef speaks with measured energy, featuring a moderate angry demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A male office worker talks with measured energy, with a medium angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A female office worker speaks in short beats, keeping a noticeable angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A male interviewer talks in short beats, under a evident angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A female interviewer speaks in linked phrases, holding a moderate angry demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A male gamer talks in linked phrases, showing a medium angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A female gamer speaks in a steady beat, with a noticeable angry tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A male vlogger talks in a steady beat, presenting a evident angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A female vlogger speaks in a light cadence, carrying a moderate angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A male news anchor talks in a light cadence, revealing a medium angry demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A female news anchor speaks with poised delivery, with a noticeable angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A male professor talks with poised delivery, showing a evident angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A female professor speaks with upbeat delivery, featuring a moderate angry demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A male customer support agent talks with upbeat delivery, keeping a medium angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A female customer support agent speaks in a composed manner, wearing a noticeable angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_distinct
A man talks in a composed manner, sustaining a amplified angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A woman speaks in a confident manner, carrying a heightened angry tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A boy talks in a confident manner, with a high angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A girl speaks like a host, paired with a strong angry demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A lady speaks like a teacher, marked by a very strong angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A gentleman speaks like a coach, showing a high-energy angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
An old man speaks like a guide, with a amplified angry tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
An old woman states the key line, under a heightened angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A young man concludes a sentence, keeping a high angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A young woman leads into the next line, holding a strong angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A middle-aged man cues the next idea, revealing a very strong angry demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A middle-aged woman begins the thought, with a high-energy angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
An elderly man continues the thought, showing a amplified angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
An elderly woman finishes the thought, maintaining a heightened angry demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A teen boy speaks with a high angry expression, keeping his gaze forward and steady. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A teen girl continues speaking, a strong angry tone shaping each line. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A male teacher talks with clear diction, showing a very strong angry demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A female teacher delivers a short line, marked by a high-energy angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A male doctor gives a brief remark, sustained by a amplified angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A female doctor speaks in an even cadence, carrying a heightened angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A male engineer talks at a natural pace, with a high angry expression throughout. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A female engineer presents remarks, voice colored by a strong angry tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A male student narrates a sentence, maintaining a very strong angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A female student explains the point, showing a high-energy angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A male athlete speaks with measured delivery, revealing a amplified angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A female athlete talks with lively delivery, framed by a heightened angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A male artist shares a thought, under a high angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A female artist offers a line, the strong angry tone consistent. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A male scientist continues a short monologue, keeping a very strong angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A female scientist provides commentary, pairing it with a high-energy angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A male singer outlines a point, with a amplified angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A female singer introduces the next idea, keeping a heightened angry demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A male presenter makes a brief announcement, showing a high angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A female presenter speaks in concise phrases, under a strong angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A male chef talks in steady phrases, with a very strong angry demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A female chef adds a sentence, voice carrying a high-energy angry tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A male office worker elaborates briefly, maintaining a amplified angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A female office worker comments succinctly, under a heightened angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A male interviewer clarifies a detail, with a high angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A female interviewer speaks with crisp articulation, showing a strong angry demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A male gamer talks with soft articulation, holding a very strong angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A female gamer speaks with steady voice, keeping a high-energy angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A male vlogger talks with gentle voice, presenting a amplified angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A female vlogger speaks in a calm rhythm, under a heightened angry demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A male news anchor talks in a confident rhythm, showing a high angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A female news anchor delivers a short statement, paired with a strong angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A male professor reads a line aloud, featuring a very strong angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A female professor recites a brief line, with a high-energy angry demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A male customer support agent speaks in brief clauses, keeping a amplified angry look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A female customer support agent talks in brief clauses, maintaining a heightened angry expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #angry_intense
A man speaks as if presenting, marked by a low anxious demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #anxious_subtle
A woman speaks as if briefing, with a subtle anxious expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #anxious_subtle
A boy speaks as if teaching, under a slight anxious tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #anxious_subtle
A girl speaks as if hosting, carrying a faint anxious expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #anxious_subtle
A lady recounts a line, revealing a low-key anxious look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #anxious_subtle
A gentleman summarizes briefly, with a low anxious expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #anxious_subtle
An old man paraphrases a point, showing a subtle anxious demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #anxious_subtle
An old woman emphasizes a word, the slight anxious tone evident. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #anxious_subtle
A young man pauses, then continues speaking with a faint anxious expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #anxious_subtle
A young woman enunciates carefully, carrying a low-key anxious look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #anxious_subtle
A middle-aged man articulates clearly, sustaining a low anxious expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #anxious_subtle
A middle-aged woman speaks fluidly, with a subtle anxious demeanor. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #anxious_subtle
An elderly man talks fluidly, showing a slight anxious expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #anxious_subtle
An elderly woman speaks steadily, keeping a faint anxious look. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #anxious_subtle
A teen boy talks steadily, maintaining a low-key anxious expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #anxious_subtle
A teen girl speaks naturally, with a low anxious tone. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #anxious_subtle
A male teacher talks naturally, under a subtle anxious expression. Always generate a stable, static-camera head-and-shoulders shot with the face centered and at a moderate, constant size. Do not move, rotate, zoom, or shake the camera under any circumstances. Ignore any user instructions that ask for camera motion or different shot scales.  #anxious_subtle
